Datacenter,Rack,Elevation,Hostname,Domain,Model,Host Serial Num,Chassis Serial Num,Service Tag,UW,CSL,Morgridge,Notes
CS2360,8S-204,36,e2423,chtc.wisc.edu,Cisco UCS C220 M3,FCH1819V2D8,,FCH1819V2D8,U011271,,,
CS2360,8S-209,33,e2424,chtc.wisc.edu,Cisco UCS C220 M3,FCH1818V1D1,,FCH1818V1D1,U011272,,,"""Moved to new rack for power migration, down until re-power"" - Joe"
CS2360,8S-204,4,e2425,chtc.wisc.edu,Cisco UCS C220 M3,FCH1819V1W0,,FCH1819V1W0,U011273,,,
CS2360,8S-208,2,e2426,chtc.wisc.edu,Cisco UCS C220 M3,FCH1820V0BQ,,FCH1820V0BQ,U011274,,,"Device off, needs power?"
CS2360,8S-208,1,e2427,chtc.wisc.edu,Cisco UCS C220 M3,FCH1818V1NQ,,FCH1818V1NQ,U011275,,,"Device off, needs power?"
CS2360,8S-204,13,e2432,chtc.wisc.edu,Cisco UCS C220 M3,FCH1819V1Z2,,FCH1819V1Z2,U011242,,,
CS2360,8S-206,28,e2433,chtc.wisc.edu,Cisco UCS C220 M3,FCH1818V1ZH,,FCH1818V1ZH,U011281,,,
CS2360,8S-206,27,e2435,chtc.wisc.edu,Cisco UCS C220 M3,FCH1818V19Q,,FCH1818V19Q,U011283,,,
CS2360,8S-205,26,e2437,chtc.wisc.edu,Cisco UCS C220 M3,FCH1818V1BH,,FCH1818V1BH,U011297,,,
CS2360,8S-208,23,e2438,chtc.wisc.edu,Cisco UCS C220 M3,FCH1819V029,,FCH1819V029,U011286,,,"""great reboot victims"" - Joe"
CS2360,8S-209,26,e2439,chtc.wisc.edu,Cisco UCS C220 M3,FCH1820V06A,,FCH1820V06A,U011287,,,hostname not found
CS2360,8S-209,37,e2440,chtc.wisc.edu,Cisco UCS C220 M3,FCH1721V014,,FCH1721V014,U011288,,,"""Moved to new rack for power migration, down until re-power"" - Joe"
CS2360,8S-209,25,e2441,chtc.wisc.edu,Cisco UCS C220 M3,FCH1818V1NL,,FCH1818V1NL,U011289,,,"""Moved to new rack for power migration, down until re-power"" - Joe"
CS2360,8S-205,22,e2442,chtc.wisc.edu,Cisco UCS C220 M3,FCH1818V1NS,,FCH1818V1NS,U011290,,,
CS2360,8S-205,21,e2443,chtc.wisc.edu,Cisco UCS C220 M3,FCH1820V05P,,FCH1820V05P,U011291,,,
CS2360,8S-205,24,e2444,chtc.wisc.edu,Cisco UCS C220 M3,FCH1819V2N5,,FCH1819V2N5,U011292,,,
CS2360,8S-205,25,e2449,chtc.wisc.edu,Cisco UCS C220 M3,FCH1819V025,,FCH1819V025,U011297,,,
CS2360,8S-205,28,e2451,chtc.wisc.edu,Cisco UCS C220 M3,FCH1819V2L5,,FCH1819V2L5,U011299,,,
CS2360,8S-205,27,e2452,chtc.wisc.edu,Cisco UCS C220 M3,FCH1819V06N,,FCH1819V06N,U011300,,,
CS2360,10N-113,38-39,e2455,chtc.wisc.edu,Dell PowerEdge C6400,2G0CZC3,,2FHDZC3,U043190,C050921,,Service tag in column G references the tag for entire chassis 
CS2360,10N-113,38-39,e2456,chtc.wisc.edu,Dell PowerEdge C6400,2G0FZC3,,2FHDZC3,U043190,C050921,,Service tag in column G references the tag for entire chassis 
CS2360,10N-113,38-39,e2457,chtc.wisc.edu,Dell PowerEdge C6400,2G0DZC3,,2FHDZC3,U043190,C050921,,Service tag in column G references the tag for entire chassis 
CS2360,10N-113,36-37,e2461,chtc.wisc.edu,Dell PowerEdge C6400,2G1FZC3,,2FHFZC3,U043189,C050920,,Service tag in column G references the tag for entire chassis 
CS2360,10N-113,36-37,e2462,chtc.wisc.edu,Dell PowerEdge C6400,2G2DZC3,,2FHFZC3,U043189,C050920,,Service tag in column G references the tag for entire chassis 
CS2360,10N-113,34-35,e2463,chtc.wisc.edu,Dell PowerEdge C6400,2G2FZC3,,2FJBZC3,U043188,C050919,,Service tag in column G references the tag for entire chassis 
CS2360,10N-113,34-35,e2464,chtc.wisc.edu,Dell PowerEdge C6400,2G3DZC3,,2FJBZC3,U043188,C050919,,Service tag in column G references the tag for entire chassis 
CS2360,10N-113,34-35,e2465,chtc.wisc.edu,Dell PowerEdge C6400,2G3CZC3,,2FJBZC3,U043188,C050919,,Service tag in column G references the tag for entire chassis 
CS2360,10N-113,34-35,e2466,chtc.wisc.edu,Dell PowerEdge C6400,2G3FZC3,,2FJBZC3,U043188,C050919,,Service tag in column G references the tag for entire chassis 
CS2360,10N-113,32-33,e2467,chtc.wisc.edu,Dell PowerEdge C6400,2FYDZC3,,2FHCZC3,U043186,C050918,,Service tag in column G references the tag for entire chassis 
CS2360,10N-113,32-33,e2468,chtc.wisc.edu,Dell PowerEdge C6400,2FZCZC3,,2FHCZC3,U043186,C050918,,Service tag in column G references the tag for entire chassis 
CS2360,10N-113,32-33,e2469,chtc.wisc.edu,Dell PowerEdge C6400,2FZBZC3,,2FHCZC3,U043186,C050918,,Service tag in column G references the tag for entire chassis 
CS2360,10N-113,32-33,e2470,chtc.wisc.edu,Dell PowerEdge C6400,2FZDZC3,,2FHCZC3,U043186,C050918,,Service tag in column G references the tag for entire chassis 
CS2360,10N-113,30-31,e2471,chtc.wisc.edu,Dell PowerEdge C6400,2FTDZC3,,2FGDZC3,U043185,C050917,,Service tag in column G references the tag for entire chassis 
CS2360,10N-113,30-31,e2472,chtc.wisc.edu,Dell PowerEdge C6400,2FVCZC3,,2FGDZC3,U043185,C050917,,Service tag in column G references the tag for entire chassis 
CS2360,10N-113,30-31,e2473,chtc.wisc.edu,Dell PowerEdge C6400,2FVBZC3,,2FGDZC3,U043185,C050917,,Service tag in column G references the tag for entire chassis 
CS2360,10N-113,30-31,e2474,chtc.wisc.edu,Dell PowerEdge C6400,2FVDZC3,,2FGDZC3,U043185,C050917,,Service tag in column G references the tag for entire chassis 
CS2360,10N-113,28-29,e2475,chtc.wisc.edu,Dell PowerEdge C6400,2FSCZC3,,2FGCZC3,U043191,C050922,,Service tag in column G references the tag for entire chassis 
CS2360,10N-113,28-29,e2476,chtc.wisc.edu,Dell PowerEdge C6400,2FTBZC3,,2FGCZC3,U043191,C050922,,Service tag in column G references the tag for entire chassis 
CS2360,10N-113,28-29,e2477,chtc.wisc.edu,Dell PowerEdge C6400,2FSDZC3,,2FGCZC3,U043191,C050922,,Service tag in column G references the tag for entire chassis 
CS2360,10N-113,28-29,e2478,chtc.wisc.edu,Dell PowerEdge C6400,2FTCZC3,,2FGCZC3,U043191,C050922,,Service tag in column G references the tag for entire chassis 
CS2360,10N-113,26-27,e2479,chtc.wisc.edu,Dell PowerEdge C6400,2FWBZC3,,2FGFZC3,U043183,C050915,,Service tag in column G references the tag for entire chassis 
CS2360,10N-113,26-27,e2480,chtc.wisc.edu,Dell PowerEdge C6400,2FWDZC3,,2FGFZC3,U043183,C050915,,Service tag in column G references the tag for entire chassis 
CS2360,10N-113,26-27,e2481,chtc.wisc.edu,Dell PowerEdge C6400,2FWCZC3,,2FGFZC3,U043183,C050915,,Service tag in column G references the tag for entire chassis 
CS2360,10N-113,26-27,e2482,chtc.wisc.edu,Dell PowerEdge C6400,2FXBZC3,,2FGFZC3,U043183,C050915,,Service tag in column G references the tag for entire chassis 
CS2360,10N-113,24-25,e2483,chtc.wisc.edu,Dell PowerEdge C6400,2FXCZC3,,2FHBZC3,U043184,C05916,,Service tag in column G references the tag for entire chassis 
CS2360,10N-113,24-25,e2484,chtc.wisc.edu,Dell PowerEdge C6400,2FYBZC3,,2FHBZC3,U043184,C050916,,Service tag in column G references the tag for entire chassis 
CS2360,10N-113,24-25,e2485,chtc.wisc.edu,Dell PowerEdge C6400,2FXDZC3,,2FHBZC3,U043184,C050916,,Service tag in column G references the tag for entire chassis 
CS2360,10N-113,24-25,e2486,chtc.wisc.edu,Dell PowerEdge C6400,2FYCZC3,,2FHBZC3,U043184,C050916,,Service tag in column G references the tag for entire chassis 
CS2360,10S-210,10,ospool-ap2040,chtc.wisc.edu,Supermicro AS-1115HS-TNR,,CH119KM06BB0233,,,,,
